,,,,,,,,,,,,,,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Perú,Perú,Perú,Perú,Perú
9,Limpieza desinfección y control ambiental,Control de plagas,City,"¿Se observan signos de plagas (insectos, roedores, excretas, mordeduras)?","¿Se observan signos de plagas (insectos, roedores, excretas, mordeduras)?",Alta,"Cumple el estándar interno especificado para el tema, sin desviaciones.",Condición/ejecución conforme a mejores prácticas para el área.,Foto/registro firmado que demuestre el cumplimiento.,Importante,Mensual,Ops,Física,50%,0%,0%,0%,100%,100%,100%,0%,50%,0%,100%,100%,0%,pending,100%,100%,50%,100%,100%,100%,100%,100%,100%,50%,100%,pending,100%,50%,100%,0%,50%,100%,pending,100%,100%,100%,100%,100%,0%,0%,0%,100%,pending,100%,50%,0%,0%,100%,100%,100%,100%,0%,100%,0%,0%,0%,100%,50%,0%,pending,0%,50%,100%,0%,pending,pending,pending,pending,pending,pending,pending,pending,pending,100%,100%,100%,100%,50%
10,Limpieza desinfección y control ambiental,Control de plagas,Admin,¿Hay plan de fumigación vigente con registros del proveedor autorizado?,¿Hay plan de fumigación vigente con registros del proveedor autorizado?,Media,"Cumple el estándar interno especificado para el tema, sin desviaciones.",Condición/ejecución conforme a mejores prácticas para el área.,Foto/registro firmado que demuestre el cumplimiento.,Importante,Mensual,Ops,Física,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,pending,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,pending,100%,100%,100%,100%,100%,100%,pending,100%,100%,100%,0%,50%,50%,100%,100%,100%,pending,100%,100%,50%,50%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,pending,100%,100%,100%,100%,pending,pending,pending,pending,pending,pending,pending,pending,pending,50%,50%,50%,0%,100%
11,Limpieza desinfección y control ambiental,Control de plagas,Quality,¿El personal ha sido capacitado en prevención de plagas en los últimos 6 meses?,¿El personal ha sido capacitado en prevención de plagas en los últimos 6 meses?,Media,"Cumple el estándar interno especificado para el tema, sin desviaciones.",Condición/ejecución conforme a mejores prácticas para el área.,Foto/registro firmado que demuestre el cumplimiento.,Importante,Mensual,Ops,Física,100%,100%,0%,100%,100%,100%,100%,0%,100%,0%,0%,100%,100%,pending,100%,0%,100%,100%,100%,0%,100%,100%,100%,100%,0%,pending,100%,0%,100%,100%,100%,50%,pending,0%,0%,100%,0%,0%,0%,0%,0%,100%,pending,0%,0%,,0%,0%,100%,0%,0%,100%,100%,0%,50%,0%,0%,50%,50%,pending,100%,50%,100%,0%,pending,pending,pending,pending,pending,pending,pending,pending,pending,100%,100%,0%,0%,50%
12,Limpieza desinfección y control ambiental,Control de plagas,City,¿Se han cerrado los puntos de ingreso o anidación detectados?,¿Se han cerrado los puntos de ingreso o anidación detectados?,Alta,"Cumple el estándar interno especificado para el tema, sin desviaciones.",Condición/ejecución conforme a mejores prácticas para el área.,Foto/registro firmado que demuestre el cumplimiento.,Importante,Mensual,Ops,Física,50%,100%,0%,50%,50%,50%,100%,100%,50%,0%,100%,50%,50%,pending,,,50%,,0%,,0%,0%,,100%,100%,pending,100%,0%,0%,100%,100%,100%,pending,100%,,0%,,,50%,100%,100%,100%,pending,100%,100%,0%,50%,,100%,100%,0%,0%,100%,0%,50%,0%,0%,100%,50%,pending,50%,50%,100%,100%,pending,pending,pending,pending,pending,pending,pending,pending,pending,50%,50%,0%,0%,50%
13,Seguridad y condiciones operativas,Refrigeración constante,City,¿Todos los refrigeradores y congeladores operan dentro de los rangos (0–4 °C / –18 °C)?,¿Todas las neveras y congeladores operan dentro de los rangos (0–4 °C / –18 °C)?,Alta,"Refrigeradores 0–4°C; congeladores ≤ -18°C; 0 equipos fuera de rango >15 min sin acción; puertas sellan, sin escarcha excesiva.",Cadena de frío estable con equipos mantenidos.,Lecturas por turno; bitácora; fotos del display/datalogger.,Crítico,Diaria (inicio/mitad/cierre),Jefe de Cocina/Calidad,Física,50%,100%,100%,50%,100%,100%,100%,0%,50%,50%,100%,100%,100%,pending,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,pending,100%,0%,100%,100%,100%,100%,pending,100%,0%,50%,0%,100%,100%,100%,100%,100%,pending,100%,100%,50%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,50%,100%,100%,pending,100%,100%,100%,100%,pending,pending,pending,pending,pending,pending,pending,pending,pending,100%,100%,100%,100%,100%
14,Seguridad y condiciones operativas,Refrigeración constante,Quality,¿Existen registros de temperatura al menos dos veces al día?,¿Existen registros de temperatura al menos dos veces al día?,Alta,"Bitácora completa ≥2 veces/día por equipo, con acciones ante desviaciones.",Trazabilidad de cadena de frío con reacción oportuna.,Bitácoras firmadas; tickets de mantenimiento cuando aplica.,Crítico,Diaria,Jefe de Cocina/Calidad,Documental,100%,100%,100%,100%,100%,100%,100%,100%,50%,50%,100%,100%,100%,pending,100%,100%,0%,0%,50%,50%,0%,0%,50%,0%,100%,pending,0%,0%,100%,100%,100%,0%,pending,0%,100%,0%,0%,0%,0%,100%,100%,100%,pending,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,pending,100%,100%,100%,100%,pending,pending,pending,pending,pending,pending,pending,pending,pending,0%,50%,0%,0%,50%
15,Seguridad y condiciones operativas,Iluminación y ventilación,City,¿La iluminación permite ver claramente las áreas de trabajo?,¿La iluminación permite ver claramente las áreas de trabajo?,Alta,Luminarias operativas y protegidas (pantallas/cubiertas antiestallido).,Evita caída de vidrio y mejora visibilidad.,Fotos; registro de mantenimiento de luminarias.,Importante,Mensual,Mantenimiento,Física,50%,100%,100%,100%,50%,100%,100%,50%,50%,100%,100%,100%,50%,pending,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,pending,100%,100%,0%,100%,50%,100%,pending,100%,100%,100%,0%,100%,100%,100%,100%,100%,pending,100%,100%,50%,50%,100%,100%,100%,100%,100%,100%,50%,100%,50%,100%,100%,100%,pending,100%,100%,100%,100%,pending,pending,pending,pending,pending,pending,pending,pending,pending,50%,100%,100%,100%,50%
16,Seguridad y condiciones operativas,Iluminación y ventilación,City,¿Hay focos fundidos o luminarias sin protección?,¿Hay focos fundidos o luminarias sin protección?,Alta,"Cumple el estándar interno especificado para el tema, sin desviaciones.",Condición/ejecución conforme a mejores prácticas para el área.,Foto/registro firmado que demuestre el cumplimiento.,Importante,Mensual,Ops,Física,0%,0%,50%,0%,0%,0%,0%,0%,0%,100%,100%,100%,50%,pending,100%,0%,50%,100%,100%,100%,100%,100%,100%,100%,100%,pending,0%,0%,0%,100%,50%,0%,pending,100%,0%,100%,100%,0%,100%,0%,100%,100%,pending,0%,100%,0%,50%,100%,100%,0%,100%,100%,100%,50%,100%,0%,100%,100%,100%,pending,100%,100%,0%,100%,pending,pending,pending,pending,pending,pending,pending,pending,pending,0%,0%,0%,100%,0%
17,Seguridad y condiciones operativas,Iluminación y ventilación,City,"¿Extractores, ventiladores y aires funcionan correctamente?","¿Extractores, ventiladores y aires funcionan correctamente?",Alta,"Cumple el estándar interno especificado para el tema, sin desviaciones.",Condición/ejecución conforme a mejores prácticas para el área.,Foto/registro firmado que demuestre el cumplimiento.,Importante,Mensual,Ops,Física,100%,100%,100%,50%,0%,50%,100%,0%,50%,100%,100%,50%,0%,pending,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,pending,100%,0%,50%,100%,100%,100%,pending,100%,100%,0%,0%,100%,100%,100%,100%,100%,pending,100%,100%,,50%,0%,100%,100%,100%,100%,50%,0%,100%,100%,50%,100%,100%,pending,100%,100%,100%,0%,pending,pending,pending,pending,pending,pending,pending,pending,pending,50%,50%,50%,100%,0%
18,Seguridad y condiciones operativas,Iluminación y ventilación,City,¿La temperatura ambiente promedio <28 °C durante operación?,¿La temperatura ambiente promedio <28 °C durante operación?,Baja,"Cumple el estándar interno especificado para el tema, sin desviaciones.",Condición/ejecución conforme a mejores prácticas para el área.,Foto/registro firmado que demuestre el cumplimiento.,Importante,Mensual,Ops,Física,100%,,100%,100%,50%,100%,100%,100%,0%,100%,100%,100%,100%,pending,100%,100%,50%,50%,50%,50%,50%,50%,100%,50%,100%,pending,,0%,0%,100%,50%,0%,pending,100%,100%,0%,0%,0%,0%,100%,100%,100%,pending,100%,100%,0%,50%,0%,100%,100%,50%,0%,0%,50%,100%,0%,0%,100%,100%,pending,100%,100%,100%,100%,pending,pending,pending,pending,pending,pending,pending,pending,pending,100%,100%,50%,50%,50%
19,Seguridad y condiciones operativas,Equipos críticos,City,¿El 100% de los equipos están operativos?,¿El 100% de los equipos están operativos?,Alta,Equipos críticos operativos; instrumentos calibrados vigentes (sondas/balanzas).,Confiabilidad del proceso y resultados repetibles.,Checklist de preapertura; certificados de calibración; OT de mantenimiento.,Crítico,Diaria (check) / Trimestral (calibración),Jefe de Cocina/Mantenimiento/Calidad,Documental,50%,100%,50%,50%,50%,100%,100%,100%,100%,100%,100%,100%,50%,pending,50%,100%,100%,0%,100%,50%,100%,100%,100%,100%,100%,pending,100%,0%,50%,100%,50%,0%,pending,100%,100%,50%,0%,50%,100%,100%,100%,100%,pending,100%,100%,0%,0%,100%,0%,50%,0%,100%,100%,100%,50%,50%,50%,100%,100%,pending,0%,100%,100%,0%,pending,pending,pending,pending,pending,pending,pending,pending,pending,50%,50%,100%,100%,0%
20,Seguridad y condiciones operativas,Equipos críticos,Quality,¿Existen registros de mantenimientos preventivos y correctivos?,¿Existen registros de mantenimientos preventivos y correctivos?,Media,Plan preventivo ejecutado; 0 equipos críticos fuera de servicio.,Continuidad operativa.,Plan maestro de mantenimiento; OTs cerradas en SLA.,Importante,Mensual,Mantenimiento,Documental,50%,0%,0%,50%,50%,50%,50%,0%,50%,0%,0%,50%,50%,pending,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,pending,100%,0%,0%,100%,50%,50%,pending,100%,0%,0%,100%,0%,0%,0%,0%,100%,pending,0%,0%,,0%,0%,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,pending,100%,0%,100%,0%,pending,pending,pending,pending,pending,pending,pending,pending,pending,50%,50%,50%,0%,50%
21,Seguridad y condiciones operativas,Equipos críticos,Admin,¿La trampa de grasa funciona adecuadamente y se limpia con frecuencia?,¿La trampa de grasa funciona adecuadamente y se limpia con frecuencia?,Media,Plan preventivo ejecutado; 0 equipos críticos fuera de servicio.,Continuidad operativa.,Plan maestro de mantenimiento; OTs cerradas en SLA.,Importante,Mensual,Mantenimiento,Documental,100%,100%,100%,50%,100%,100%,100%,100%,50%,100%,100%,100%,100%,pending,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,pending,100%,100%,0%,50%,100%,100%,pending,100%,100%,100%,100%,100%,100%,100%,100%,100%,pending,50%,100%,100%,50%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,50%,pending,100%,100%,100%,100%,pending,pending,pending,pending,pending,pending,pending,pending,pending,50%,50%,100%,50%,50%
22,Limpieza desinfección y control ambiental,Limpieza y desinfección,Quality,¿Existe cronograma de limpieza diaria y profunda visible en la cocina?,¿Existe cronograma de limpieza diaria y profunda visible en la cocina?,Alta,"Zonas, equipos y pisos con limpieza terminal al cierre, según POES.",Cierre higiénico que evita contaminación y plagas.,Checklist de cierre con firmas; fotos de estado final.,Importante,Diaria (cierre),Cocina,Documental,100%,100%,100%,50%,50%,100%,100%,100%,100%,0%,100%,0%,100%,pending,100%,100%,0%,100%,0%,0%,100%,100%,100%,0%,0%,pending,100%,50%,100%,100%,100%,100%,pending,100%,100%,0%,0%,100%,0%,100%,100%,100%,pending,100%,100%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,pending,100%,100%,0%,100%,pending,pending,pending,pending,pending,pending,pending,pending,pending,100%,100%,0%,0%,50%
23,Limpieza desinfección y control ambiental,Limpieza y desinfección,City,¿Se realizan limpiezas profundas según frecuencia programada?,¿Se realizan limpiezas profundas según frecuencia programada?,Alta,POES vigentes y ejecutados por turno; concentraciones correctas de químicos.,Limpieza efectiva con verificación.,Listas firmadas; tiras reactivas; resultados ATP si aplica.,Crítico,Por turno,Cocina/Calidad,Documental,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,50%,100%,pending,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,pending,100%,100%,100%,100%,50%,0%,pending,50%,100%,100%,50%,0%,100%,100%,100%,100%,pending,100%,100%,100%,100%,100%,100%,100%,100%,0%,50%,100%,50%,100%,100%,100%,100%,pending,50%,100%,0%,100%,pending,pending,pending,pending,pending,pending,pending,pending,pending,100%,100%,100%,50%,100%
24,Limpieza desinfección y control ambiental,Gestión de residuos,Quality,¿Se usan botes de basura rotulados para separación según categoría?,¿Se usan botes de basura rotulados para separación según categoría?,Media,Rutas/horarios definidos; contenedores sin desborde ni olores; contrato vigente.,Gestión de residuos controlada y trazable.,Manifiestos de retiro; fotos; contrato proveedor.,Importante,Diaria/Semanal,Ops/Proveedor,Documental,0%,0%,100%,0%,100%,0%,50%,0%,50%,0%,50%,0%,100%,pending,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,pending,100%,100%,100%,100%,100%,0%,pending,100%,100%,50%,50%,0%,0%,100%,100%,100%,pending,0%,100%,100%,50%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,50%,100%,pending,100%,100%,100%,100%,pending,pending,pending,pending,pending,pending,pending,pending,pending,0%,50%,0%,0%,0%
25,Limpieza desinfección y control ambiental,Gestión de residuos,Quality,¿El personal ha sido entrenado en manejo de residuos y reciclaje?,¿El personal ha sido entrenado en manejo de residuos y reciclaje?,Media,Personal entrenado anualmente en manejo y segregación de residuos.,Competencia del equipo para disposición adecuada.,Listas de asistencia; material de capacitación.,Importante,Anual,Calidad/Ops,Documental,100%,50%,0%,100%,100%,100%,100%,0%,50%,0%,0%,100%,100%,pending,100%,100%,100%,0%,50%,0%,0%,0%,0%,100%,0%,pending,100%,0%,100%,100%,100%,0%,pending,50%,0%,0%,0%,0%,0%,0%,0%,50%,pending,0%,50%,50%,50%,50%,100%,0%,0%,100%,100%,50%,100%,100%,100%,50%,50%,pending,100%,50%,100%,100%,pending,pending,pending,pending,pending,pending,pending,pending,pending,50%,50%,0%,50%,50%
26,Limpieza desinfección y control ambiental,Gestión de residuos,City,¿El área de almacenamiento de basura (contenedores) está aislada y en buen estado sanitario (limpio y cerrado)?,¿El área de almacenamiento de basura (shut) está aislada y en buen estado sanitario (limpio y cerrado)?,Alta,"Área de recepción limpia, aislada de preparación; pisos lavables.",Evita contaminación por residuos en recepción.,Fotos; plan de limpieza del área.,Importante,Semanal,Ops,Física,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,0%,50%,100%,pending,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,pending,100%,50%,100%,100%,50%,100%,pending,100%,100%,100%,50%,100%,100%,100%,100%,100%,pending,100%,100%,0%,50%,0%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,50%,pending,100%,50%,100%,0%,pending,pending,pending,pending,pending,pending,pending,pending,pending,100%,100%,0%,50%,50%
27,Infraestructura y mantenimiento,"Pisos, paredes y techos",City,"¿El piso está sin losetas sueltas ni fisuras, y seguro para el personal?",¿El piso está sin baldosas sueltas ni fisuras?,Media,0 baldosas sueltas/fisuras; superficies antideslizantes; sin charcos.,Superficie sanitaria y segura.,Fotos; acta de reparación si aplica.,Importante,Mensual,Facilities/Mantenimiento,Física,50%,50%,,50%,50%,100%,50%,100%,50%,100%,0%,0%,50%,pending,100%,100%,0%,100%,50%,100%,50%,100%,100%,100%,100%,pending,0%,50%,100%,100%,100%,0%,pending,50%,0%,100%,0%,50%,100%,50%,0%,100%,pending,100%,100%,0%,0%,50%,100%,0%,0%,100%,0%,50%,50%,0%,100%,100%,100%,pending,50%,100%,0%,100%,pending,pending,pending,pending,pending,pending,pending,pending,pending,100%,100%,0%,100%,0%
